Initial wallet: 

BTC: 0.1
DOGE: 1000
ETH: 10
USDT: 100


2020/06/01 13:09:45.319249 	Bidsale  	ETH/USDT   	Paid 0.4667741139 USDT     	Received 0.0019742085 ETH  	
2020/06/01 13:09:50.324208 	Bid      	BTC/USDT   	Offers: 9517.24962265 USDT/unit	Requests: 0.0000392361 BTC 	
2020/06/01 13:09:50.324208 	Bid      	DOGE/USDT  	Offers: 0.00257187 USDT/unit	Requests: 116.1549497619 DOGE	
2020/06/01 13:09:50.324208 	Bid      	ETH/USDT   	Offers: 236.42426386 USDT/unit	Requests: 0.0010108452 ETH 	
2020/06/01 13:09:50.324208 	Bidsale  	BTC/USDT   	Paid 0.3734192897 USDT     	Received 0.0000392361 BTC  	
2020/06/01 13:09:50.324208 	Bidsale  	DOGE/USDT  	Paid 0.2987354306 USDT     	Received 116.1549497619 DOGE	
2020/06/01 13:09:50.324208 	Bidsale  	ETH/USDT   	Paid 0.2389883436 USDT     	Received 0.0010108452 ETH  	
2020/06/01 13:09:55.330017 	Bid      	BTC/USDT   	Offers: 9515.81977838 USDT/unit	Requests: 0.0000200919 BTC 	
2020/06/01 13:09:55.330017 	Bid      	DOGE/USDT  	Offers: 0.00257156 USDT/unit	Requests: 59.4785028467 DOGE	
2020/06/01 13:09:55.330017 	Ask      	ETH/BTC    	Offers: 0.0068848015 ETH   	Requests: 0.0248364 BTC/unit	
2020/06/01 13:09:55.330017 	Ask      	ETH/USDT   	Offers: 0.0055078412 ETH   	Requests: 236.37294028 USDT/unit	
2020/06/01 13:09:55.330017 	Bidsale  	BTC/USDT   	Paid 0.1911906742 USDT     	Received 0.0000200919 BTC  	
2020/06/01 13:09:55.330017 	Bidsale  	DOGE/USDT  	Paid 0.1529525388 USDT     	Received 59.4785028467 DOGE	
2020/06/01 13:09:55.330017 	Asksale  	ETH/BTC    	Paid 0.0068848015 ETH      	Received 0.0001709937 BTC  	
2020/06/01 13:09:55.330017 	Asksale  	ETH/USDT   	Paid 0.0055078412 ETH      	Received 1.3019046145 USDT 	
2020/06/01 13:10:00.337483 	Bid      	BTC/USDT   	Offers: 9515.50018959 USDT/unit	Requests: 0.0000402231 BTC 	
2020/06/01 13:10:00.337483 	Bid      	DOGE/USDT  	Offers: 0.00257155 USDT/unit	Requests: 119.06996354 DOGE	
2020/06/01 13:10:00.337483 	Bidsale  	BTC/USDT   	Paid 0.3827429574 USDT     	Received 0.0000402231 BTC  	
2020/06/01 13:10:00.337483 	Bidsale  	DOGE/USDT  	Paid 0.3061943647 USDT     	Received 119.06996354 DOGE 	
2020/06/01 13:10:05.343659 	Bid      	DOGE/USDT  	Offers: 0.00257136 USDT/unit	Requests: 95.2630090227 DOGE	
2020/06/01 13:10:05.343659 	Ask      	ETH/USDT   	Offers: 0.0044062729 ETH   	Requests: 236.39448383 USDT/unit	
2020/06/01 13:10:05.343659 	Bidsale  	DOGE/USDT  	Paid 0.2449554909 USDT     	Received 95.2630090227 DOGE	
2020/06/01 13:10:05.343659 	Asksale  	ETH/USDT   	Paid 0.0044062729 ETH      	Received 1.0416186145 USDT 	
2020/06/01 13:10:10.349944 	Bid      	BTC/USDT   	Offers: 9515.00000001 USDT/unit	Requests: 0.0000424896 BTC 	
2020/06/01 13:10:10.349944 	Bid      	DOGE/USDT  	Offers: 0.00257118 USDT/unit	Requests: 125.7906848908 DOGE	
2020/06/01 13:10:10.349944 	Bid      	ETH/BTC    	Offers: 0.02483725 BTC/unit	Requests: 0.0094395188 ETH 	
2020/06/01 13:10:10.349944 	Bid      	ETH/USDT   	Offers: 236.37699147 USDT/unit	Requests: 0.001094626 ETH  	
2020/06/01 13:10:10.349944 	Bidsale  	BTC/USDT   	Paid 0.404288118 USDT      	Received 0.0000424896 BTC  	
2020/06/01 13:10:10.349944 	Bidsale  	DOGE/USDT  	Paid 0.3234304932 USDT     	Received 125.7906848908 DOGE	
2020/06/01 13:10:10.349944 	Bidsale  	ETH/BTC    	Paid 0.0002344517 BTC      	Received 0.0094395188 ETH  	
2020/06/01 13:10:10.349944 	Bidsale  	ETH/USDT   	Paid 0.2587443936 USDT     	Received 0.001094626 ETH   	
2020/06/01 13:10:15.355675 	Bid      	ETH/USDT   	Offers: 236.34154133 USDT/unit	Requests: 0.0008758321 ETH 	
2020/06/01 13:10:15.355675 	Bidsale  	ETH/USDT   	Paid 0.2069955141 USDT     	Received 0.0008758321 ETH  	
2020/06/01 13:10:20.362146 	Bid      	DOGE/USDT  	Offers: 0.00257116 USDT/unit	Requests: 64.4053309231 DOGE	
2020/06/01 13:10:20.362146 	Bid      	ETH/USDT   	Offers: 236.29428292 USDT/unit	Requests: 0.0005606447 ETH 	
2020/06/01 13:10:20.362146 	Bidsale  	DOGE/USDT  	Paid 0.1655964107 USDT     	Received 64.4053309231 DOGE	
2020/06/01 13:10:20.362146 	Bidsale  	ETH/USDT   	Paid 0.132477128 USDT      	Received 0.0005606447 ETH  	
2020/06/01 13:10:25.368560 	Bid      	ETH/USDT   	Offers: 236.27214695 USDT/unit	Requests: 0.0004485577 ETH 	
2020/06/01 13:10:25.368560 	Bidsale  	ETH/USDT   	Paid 0.105981702 USDT      	Received 0.0004485577 ETH  	
2020/06/01 13:10:30.375084 	Bid      	DOGE/USDT  	Offers: 0.002571 USDT/unit 	Requests: 32.9775812168 DOGE	
2020/06/01 13:10:30.375084 	Ask      	ETH/USDT   	Offers: 0.0060088542 ETH   	Requests: 236.18673019 USDT/unit	
2020/06/01 13:10:30.375084 	Bidsale  	DOGE/USDT  	Paid 0.0847853613 USDT     	Received 32.9775812168 DOGE	
2020/06/01 13:10:30.375084 	Asksale  	ETH/USDT   	Paid 0.0060088542 ETH      	Received 1.4192116309 USDT 	
2020/06/01 13:10:35.382479 	Bid      	DOGE/USDT  	Offers: 0.0025709 USDT/unit	Requests: 136.78891408 DOGE	
2020/06/01 13:10:35.382479 	Ask      	ETH/BTC    	Offers: 0.0048070834 ETH   	Requests: 0.02483051 BTC/unit	
2020/06/01 13:10:35.382479 	Ask      	ETH/USDT   	Offers: 0.0038456667 ETH   	Requests: 236.19145292 USDT/unit	
2020/06/01 13:10:35.382479 	Bidsale  	DOGE/USDT  	Paid 0.3516706192 USDT     	Received 136.78891408 DOGE 	
2020/06/01 13:10:35.382479 	Asksale  	ETH/BTC    	Paid 0.0048070834 ETH      	Received 0.0001193623 BTC  	
2020/06/01 13:10:35.382479 	Asksale  	ETH/USDT   	Paid 0.0038456667 ETH      	Received 0.9083135991 USDT 	
2020/06/01 13:10:40.389481 	Bid      	DOGE/USDT  	Offers: 0.00257089 USDT/unit	Requests: 180.0929704652 DOGE	
2020/06/01 13:10:40.389481 	Bidsale  	DOGE/USDT  	Paid 0.4629992168 USDT     	Received 180.0929704652 DOGE	
2020/06/01 13:10:45.395470 	Bid      	DOGE/USDT  	Offers: 0.00257086 USDT/unit	Requests: 144.0760570749 DOGE	
2020/06/01 13:10:45.395470 	Bidsale  	DOGE/USDT  	Paid 0.3703993721 USDT     	Received 144.0760570749 DOGE	
2020/06/01 13:10:50.402479 	Bid      	BTC/USDT   	Offers: 9514.40000001 USDT/unit	Requests: 0.0000311443 BTC 	
2020/06/01 13:10:50.402479 	Bid      	DOGE/USDT  	Offers: 0.0025705 USDT/unit	Requests: 92.2215897189 DOGE	
2020/06/01 13:10:50.402479 	Bidsale  	BTC/USDT   	Paid 0.2963194966 USDT     	Received 0.0000311443 BTC  	
2020/06/01 13:10:50.402479 	Bidsale  	DOGE/USDT  	Paid 0.2370555964 USDT     	Received 92.2215897189 DOGE	
2020/06/01 13:10:55.408686 	Bid      	ETH/USDT   	Offers: 236.29428291 USDT/unit	Requests: 0.0008025775 ETH 	
2020/06/01 13:10:55.408686 	Bidsale  	ETH/USDT   	Paid 0.1896444764 USDT     	Received 0.0008025775 ETH  	
2020/06/01 13:11:00.415545 	Bid      	DOGE/USDT  	Offers: 0.00257015 USDT/unit	Requests: 59.0298545019 DOGE	
