Initial wallet: 

BTC: 0.1
DOGE: 1000
ETH: 10
USDT: 100


2020/06/01 12:01:35.584357 	Bidsale  	BTC/USDT   	Paid 128.4183961004 USDT   	Received 0.0134563756 BTC  	
2020/06/01 12:01:40.589961 	Ask      	BTC/USDT   	Offers: 0.0171995855 BTC   	Requests: 9546.18683747 USDT/unit	
2020/06/01 12:01:40.589961 	Ask      	ETH/BTC    	Offers: 0.2326442158 ETH   	Requests: 0.02487826 BTC/unit	
2020/06/01 12:01:40.589961 	Bid      	ETH/USDT   	Offers: 237.67320931 USDT/unit	Requests: 0.432291776 ETH  	
2020/06/01 12:01:40.589961 	Bidsale  	ETH/USDT   	Paid 5.768279177 USDT      	Received 0.0243120594 ETH  	
2020/06/01 12:01:40.589961 	Bidsale  	ETH/USDT   	Paid 96.7972669203 USDT    	Received 0.4079797166 ETH  	
2020/06/01 12:01:45.595790 	Bid      	ETH/BTC    	Offers: 0.02488191 BTC/unit	Requests: 0.5529988807 ETH 	
2020/06/01 12:01:45.595790 	Bid      	ETH/USDT   	Offers: 237.5781743 USDT/unit	Requests: 0.3459717583 ETH 	
2020/06/01 12:01:45.595790 	Bidsale  	ETH/BTC    	Paid 0.0137415577 BTC      	Received 0.5529988807 ETH  	
2020/06/01 12:01:45.595790 	Bidsale  	ETH/USDT   	Paid 82.0860557015 USDT    	Received 0.3459717583 ETH  	
2020/06/01 12:01:50.602273 	Bid      	BTC/USDT   	Offers: 9545.58501944 USDT/unit	Requests: 0.006888658 BTC  	
2020/06/01 12:01:50.602273 	Bid      	ETH/BTC    	Offers: 0.02487827 BTC/unit	Requests: 0.4424638314 ETH 	
2020/06/01 12:01:50.602273 	Bid      	ETH/USDT   	Offers: 237.55441812 USDT/unit	Requests: 0.2214440665 ETH 	
2020/06/01 12:01:50.602273 	Bidsale  	BTC/USDT   	Paid 65.7410279759 USDT    	Received 0.006888658 BTC   	
2020/06/01 12:01:50.602273 	Asksale  	BTC/USDT   	Paid 0.0057218481 BTC      	Received 54.6057265383 USDT	
2020/06/01 12:01:50.602273 	Bidsale  	ETH/BTC    	Paid 0.010995297 BTC       	Received 0.4424638314 ETH  	
2020/06/01 12:01:50.602273 	Bidsale  	ETH/USDT   	Paid 52.5431630337 USDT    	Received 0.2214440665 ETH  	
2020/06/01 12:01:55.608338 	Ask      	BTC/USDT   	Offers: 0.0101839193 BTC   	Requests: 9545.58501943 USDT/unit	
2020/06/01 12:01:55.608338 	Ask      	ETH/BTC    	Offers: 0.5851494405 ETH   	Requests: 0.02487827 BTC/unit	
2020/06/01 12:01:55.608338 	Bid      	ETH/USDT   	Offers: 237.53066483 USDT/unit	Requests: 0.2231508022 ETH 	
2020/06/01 12:01:55.608338 	Bidsale  	ETH/USDT   	Paid 52.9535358868 USDT    	Received 0.2231508022 ETH  	
